,Abbr,Latitude,Longitude,State,NumberOfFires
0,AK,63.588753000000004,-154.493062,Alaska,2015
1,AL,32.318231,-86.902298,Alabama,8291
2,AR,35.20105,-91.83183299999999,Arkansas,4059
3,AZ,34.048928000000004,-111.093731,Arizona,3761
4,CA,36.778261,-119.41793200000001,California,8501
5,CO,39.550051,-105.782067,Colorado,1501
6,CT,41.603221000000005,-73.087749,Connecticut,73
7,DE,38.910832,-75.52767,Delaware,11
8,FL,27.664827000000002,-81.515754,Florida,10021
9,GA,32.157435,-82.907123,Georgia,4877
10,HI,19.898682,-155.66585700000002,Hawaii,85
11,IA,41.878003,-93.097702,Iowa,394
12,ID,44.068202,-114.74204099999999,Idaho,4164
13,IL,40.633125,-89.398528,Illinois,166
14,IN,40.551217,-85.602364,Indiana,106
15,KS,39.011902,-98.484246,Kansas,572
16,KY,37.839333,-84.27001800000001,Kentucky,6428
17,LA,31.244822999999997,-92.14502399999999,Louisiana,3131
18,MA,42.407211,-71.382437,Massachusetts,10
19,MD,39.045755,-76.641271,Maryland,207
20,ME,45.253783,-69.44546899999999,Maine,122
21,MI,44.314844,-85.602364,Michigan,408
22,MN,46.729553,-94.6859,Minnesota,3124
23,MO,37.964253,-91.83183299999999,Missouri,3228
24,MS,32.354668,-89.398528,Mississippi,10371
25,MT,46.879682,-110.36256599999999,Montana,2878
26,NC,35.759572999999996,-79.0193,North Carolina,3478
27,ND,47.551493,-101.002012,North Dakota,1176
28,NE,41.492537,-99.901813,Nebraska,1006
29,NH,43.193852,-71.572395,New Hampshire,4
30,NJ,40.058324,-74.405661,New Jersey,222
31,NM,34.97273,-105.03236299999999,New Mexico,4033
32,NV,38.802609999999994,-116.419389,Nevada,2339
33,NY,43.299428000000006,-74.217933,New York,277
34,OH,40.417287,-82.907123,Ohio,109
35,OK,35.007752,-97.092877,Oklahoma,8679
36,OR,43.804133,-120.554201,Oregon,2489
37,PA,41.203322,-77.194525,Pennsylvania,217
38,PR,18.220833,-66.590149,Puerto Rico,857
39,RI,41.580095,-71.477429,Rhode Island,1
40,SC,33.836081,-81.163725,South Carolina,4021
41,SD,43.969515,-99.901813,South Dakota,3085
42,TN,35.517491,-86.58044699999999,Tennessee,3091
43,TX,31.968598999999998,-99.901813,Texas,16819
44,UT,39.32098,-111.093731,Utah,2566
45,VA,37.431573,-78.656894,Virginia,1227
46,VT,44.558803000000005,-72.577841,Vermont,5
47,WA,47.751073999999996,-120.74013899999999,Washington,1653
48,WI,43.784440000000004,-88.787868,Wisconsin,428
49,WV,38.597626,-80.454903,West Virginia,2825
50,WY,43.075967999999996,-107.29028400000001,Wyoming,1574
